X,Y,u_x,u_y,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0,4,0,-0.002996528,,,0.021790007,0.844907049,-22.78301298,-56.64267365,0.010814374
0,3.5,0,-0.002906616,,,0.021790007,0.681832025,-24.23537233,-59.49179467,0.012213709
0,3.75,0,-0.002972586,,,0.021790007,1.318334524,-18.71534704,-48.30835795,0.006381624
0,3.875,0,-0.002989794,,,0.021790007,1.1552595,-20.09133194,-51.19010888,0.007937767
0,3.625,0,-0.00294487,,,0.02182608,3.318064147,-4.577684829,-12.32141327,-0.002436901
0,3.5,0,-0.002906616,,,0.02182608,3.154989123,-5.804489407,-15.27538774,-0.002520223
0,2,0,-0.00162357,,,0.02182608,2.844636672,-8.139186448,-20.89604424,-0.002211842
0,2.5,0,-0.00221988,,,0.02182608,2.681561648,-9.370153946,-23.84664812,-0.001848644
0,2.25,0,-0.001942674,,,0.025867133,0.968554348,-21.69906869,-54.47521903,0.011506091
0,2.375,0,-0.002086527,,,0.025867133,0.56318787,-25.30794263,-61.55826184,0.0156192
0,2.125,0,-0.001788347,,,0.025867133,1.031643363,-21.15188931,-53.36683419,0.010809696
0,2.5,0,-0.00221988,,,0.025867133,1.437009841,-17.73034492,-46.20387687,0.006237097
0,3.5,0,-0.002906616,,,0.025909956,3.436688875,-3.683346441,-10.17339048,-0.002671319
0,3.5,0,-0.002906616,,,0.025909956,3.031322397,-6.734173398,-17.51556638,-0.002926797
0,3,0,-0.002647868,,,0.025909956,2.968233382,-7.208645611,-18.65821031,-0.002851663
0,3.25,0,-0.002798409,,,0.025909956,2.562866904,-10.26938706,-25.99235663,-0.001810664
0,3.375,0,-0.0028578,,,0.028786902,0.31825125,-27.56205664,-65.80937876,0.019596495
0,3.125,0,-0.002728433,,,0.028786902,0.155176226,-29.08999441,-68.6303142,0.020736276
0,3,0,-0.002647868,,,0.028819875,2.31825125,-12.13372248,-30.40829065,-0.000994417
0,2.5,0,-0.00221988,,,0.028819875,2.155176226,-13.38623361,-33.34718971,-0.000267445
0,2.75,0,-0.002454995,,,0.028819875,1.844823774,-14.44475099,-38.92645293,0.00207965
0,2.875,0,-0.002556719,,,0.028819875,1.68174875,-15.74087014,-41.8447779,0.003957828
0,2.625,0,-0.002342709,,,0.030082826,3.844823774,-0.578321197,-2.796226341,-0.001152573
0,2.5,0,-0.00221988,,,0.030082826,3.68174875,-1.825720647,-5.740590038,-0.002138238
0,0.5,0,-0.000499586,,,0.034173216,0.436910986,-26.46351654,-63.75223333,0.022074697
0,0,0,0,,,0.034173216,0.031544507,-30.26085561,-70.76510759,0.025386874
0,0.5,0,-0.000499586,,,0.034212359,2.436910986,-11.22729456,-28.2672755,-0.001784968
0,0.25,0,-0.000257354,,,0.034212359,2.031544507,-14.34119777,-35.57252692,0.000331067
0,0.375,0,-0.000380371,,,0.034212359,1.563089014,-16.69849289,-43.96141473,0.006395665
0,0.125,0,-0.000130557,,,0.034212359,1.968455493,-13.47643663,-36.70711199,0.000883283
0,2,0,-0.00162357,,,0.035711621,3.563089014,-2.727337262,-7.885996686,-0.003176113
0,1.5,0,-0.001313221,,,0.035711621,3.968455493,0.375130913,-0.567928211,-0.000293188
0,1.75,0,-0.00147663,,,0.071289777,2.531020098,-10.51092779,-26.56783268,-0.004675501
0,1.875,0,-0.001552172,,,0.071356204,1.468698604,-17.46867658,-45.64073988,0.016232438
0,1.625,0,-0.00139697,,,0.071778675,0.531767262,-25.59340899,-62.10422082,0.04413007
0,1.5,0,-0.001313221,,,0.072231954,3.4679447,-3.447528913,-9.607652977,-0.007237992
0,0.5,0,-0.000499586,,,0.07959218,2.468153194,-10.98897948,-27.70331064,-0.00451483
0,1.5,0,-0.001313221,,,0.07970143,1.531688763,-16.95297524,-44.52036149,0.01597796
0,0.5,0,-0.000499586,,,0.080084759,0.468579392,-26.171569,-63.20194118,0.050921285
0,1,0,-0.000937921,,,0.082033619,3.531255825,-2.968786539,-8.461910719,-0.007644106
0,0.75,0,-0.000726514,,,0.102210082,0.875747241,-22.50918653,-56.10185622,0.049459304
0,0.875,0,-0.000834172,,,0.102210082,0.749677359,-23.62606811,-58.30682386,0.054636661
0,0.625,0,-0.000614976,,,0.102210082,1.125033986,-20.34707493,-51.72232868,0.0386042
0,1.5,0,-0.001313221,,,0.102210082,1.251103868,-19.27726242,-49.49728251,0.032978548
0,1,0,-0.000937921,,,0.10237929,3.249835618,-5.091361635,-13.55737526,-0.011693646
0,1.25,0,-0.001133571,,,0.10237929,3.123765735,-6.039152834,-15.8411688,-0.011804478
0,1.375,0,-0.001225412,,,0.10237929,2.87447899,-7.913956768,-20.35599881,-0.010624006
0,1.125,0,-0.001037731,,,0.10237929,2.748409108,-8.864490761,-22.63764492,-0.009446946
0.102502524,0.625391731,2.1911E-06,-0.000615323,,,0.127247638,0.682235049,-24.22879176,-59.48327081,0.07135076
0.102502524,1.375391731,3.78854E-06,-0.001225687,,,0.127247638,0.973913774,-21.64914322,-54.37996894,0.056356553
0.102502524,0.625391731,2.1911E-06,-0.000615323,,,0.127247638,1.027058824,-21.18819266,-53.44633592,0.053475884
0.102502524,1.000391731,3.14338E-06,-0.000938232,,,0.127247638,1.318737548,-18.70855061,-48.30044387,0.037296341
0.102502524,0.750391731,2.54181E-06,-0.000726849,,,0.127458296,3.317158625,-4.584910642,-12.33801552,-0.014231221
0.102502524,0.875391731,2.85953E-06,-0.000834495,,,0.127458296,3.0254799,-6.777801786,-17.62164374,-0.01437449
0.102502524,1.375391731,3.78854E-06,-0.001225687,,,0.127458296,2.972334851,-7.177376394,-18.58419018,-0.014061055
0.102502524,1.000391731,3.14338E-06,-0.000938232,,,0.127458296,2.680656126,-9.376095193,-23.86329456,-0.010795011
0.102502524,1.250391731,3.60777E-06,-0.001133858,,,0.13503032,0.250713255,-28.19026727,-66.97617246,0.094410711
0.102502524,1.125391731,3.3928E-06,-0.00103803,,,0.13503032,0.124643373,-29.37649131,-69.155297,0.098195225
0.102672216,3.374119852,3.22382E-06,-0.00285744,,,0.135184986,2.250713255,-12.65013852,-31.62601722,-0.003194621
0.102672216,2.999119852,3.64568E-06,-0.002647282,,,0.135184986,2.124643373,-13.62028427,-33.89695344,-0.000564979
0.102672216,3.374119852,3.22382E-06,-0.00285744,,,0.135184986,1.749286745,-15.19784703,-40.63703849,0.014887617
0.102672216,3.249119852,3.35966E-06,-0.002797974,,,0.135184986,1.875356627,-14.20117255,-38.37861206,0.008216577
0.102672216,3.124119852,3.50249E-06,-0.002727922,,,0.141109095,3.749286745,-1.312259112,-4.52057104,-0.008239289
0.102672216,2.624119852,4.01933E-06,-0.002341893,,,0.141109095,3.875356627,-0.345757054,-2.245578828,-0.004420292
0.102672216,2.999119852,3.64568E-06,-0.002647282,,,0.165566813,1.345431591,-18.48336501,-47.82708131,0.046629816
0.102672216,2.874119852,3.78303E-06,-0.002556057,,,0.16568544,2.65382895,-9.578352697,-24.348562,-0.013487214
0.102672216,2.749119852,3.90916E-06,-0.002454256,,,0.165922695,0.655766895,-24.46485489,-59.94357682,0.094741811
0.102672216,2.624119852,4.01933E-06,-0.002341893,,,0.166479113,3.343487969,-4.386985642,-11.86127529,-0.018364016
0.135416667,0.375,1.84314E-06,-0.000380359,,,0.168107578,0.026572525,-30.3061147,-70.84668622,0.12518116
0.135416667,0,0,0,,,0.168107578,0.31825125,-27.55833312,-65.80593401,0.114605267
0.135416667,0.375,1.84314E-06,-0.000380359,,,0.168300131,2.026572525,-14.37767373,-35.66175059,0.001843468
0.135416667,0.125,6.45164E-07,-0.000130552,,,0.168300131,2.31825125,-12.13164236,-30.40848884,-0.005717336
0.135416667,0.25,1.26087E-06,-0.000257345,,,0.168300131,1.68174875,-15.73523428,-41.84403898,0.023197734
0.135571775,2,5.57177E-06,-0.001623572,,,0.168300131,1.973427475,-13.43283423,-36.6174417,0.004113145
0.135571775,2.375,5.51513E-06,-0.002086539,,,0.175675419,3.68174875,-1.828298115,-5.740683542,-0.01247176
0.135571775,2.125,5.58898E-06,-0.001788351,,,0.175675419,3.973427475,0.409799332,-0.478402316,-0.001229422
0.135571775,2.25,5.56981E-06,-0.001942682,,,0.205589931,0.876142325,-22.4991488,-56.09232965,0.099603919
0.135571775,2.375,5.51513E-06,-0.002086539,,,0.205589931,1.12542907,-20.33677168,-51.71332834,0.077773922
0.135571775,2,5.57177E-06,-0.001623572,,,0.205930284,3.122878054,-6.04563638,-15.85774145,-0.023773353
0.135571775,1.625,5.35761E-06,-0.001396964,,,0.205930284,2.873591309,-7.919385356,-20.37261732,-0.021356121
0.135571775,1.875,5.5381E-06,-0.001552171,,,0.206527275,2.344569123,-11.92914525,-29.93389478,-0.00781361
0.135571775,1.75,5.46755E-06,-0.001476626,,,0.206619306,1.655297744,-15.94457901,-42.31590337,0.030801393
0.135571775,1.625,5.35761E-06,-0.001396964,,,0.206782634,0.344928145,-27.30811459,-65.34203218,0.139519381
0.141512834,4,3.98522E-06,-0.002996549,,,0.214696236,3.654933045,-2.033609599,-6.225431198,-0.016232113
0.141512834,3.625,4.13363E-06,-0.002944906,,,0.245062074,2.52489833,-10.55361204,-26.67911521,-0.015769358
0.141512834,3.875,3.98048E-06,-0.002989821,,,0.245563432,1.474220381,-17.41140897,-45.5403374,0.055586323
0.141512834,3.75,4.03295E-06,-0.002972618,,,0.247641684,0.527265296,-25.62489926,-62.17633943,0.152993934
0.141512834,3.625,4.13363E-06,-0.002944906,,,0.249696902,3.471820264,-3.42115988,-9.537983618,-0.025028595
0.179824578,2.498802093,7.20224E-06,-0.00221868,,,0.252055869,2.471940382,-10.95597705,-27.63552479,-0.014262779
0.179824578,2.498802093,7.20224E-06,-0.00221868,,,0.2525933,1.527282157,-16.97660338,-44.59663093,0.051399602
0.180257498,1.500571634,6.9262E-06,-0.001313598,,,0.254638579,0.474036971,-26.11191092,-63.10048653,0.16191777
0.180257498,1.500571634,6.9262E-06,-0.001313598,,,0.257953648,3.525152416,-3.018603959,-8.572800959,-0.024332423
0.181931604,0.500490971,3.21361E-06,-0.000500022,,,0.26097245,0.845821125,-22.76112676,-56.62097255,0.129838777
0.181931604,0.500490971,3.21361E-06,-0.000500022,,,0.26097245,0.974424826,-21.6336963,-54.36708954,0.115844313
0.183558097,3.498856051,5.54248E-06,-0.002906281,,,0.26097245,1.027569876,-21.1726474,-53.43364269,0.109944117
0.183558097,3.498856051,5.54248E-06,-0.002906281,,,0.26097245,1.156173576,-20.06876424,-51.16979223,0.095392718
0.205005048,0.750783462,5.0919E-06,-0.000727165,,,0.261404489,3.152935359,-5.819820982,-15.31361156,-0.03026559
0.205005048,1.250783462,7.22447E-06,-0.001134131,,,0.261404489,3.024331659,-6.785385886,-17.64330964,-0.029505592
0.205005048,0.750783462,5.0919E-06,-0.000727165,,,0.261404489,2.971186609,-7.18459175,-18.60587318,-0.028850059
0.205005048,1.000783462,6.29556E-06,-0.000938525,,,0.261404489,2.842582908,-8.151732259,-20.93438275,-0.026441775
0.205005048,0.875783462,5.72767E-06,-0.000834799,,,0.271606026,0.124643373,-29.3710241,-69.14717527,0.198026176
0.205005048,1.250783462,7.22447E-06,-0.001134131,,,0.271917128,2.124643373,-13.61598201,-33.89677181,-0.000879498
0.205005048,1.000783462,6.29556E-06,-0.000938525,,,0.271917128,1.875356627,-14.19056017,-38.37768866,0.016799499
0.205005048,1.125783462,6.79454E-06,-0.001038312,,,0.281690825,2.622571247,-9.811700002,-24.91444752,-0.021745267
0.205344433,3.248239704,6.72056E-06,-0.002797579,,,0.281953302,1.376317244,-18.21516049,-47.27718923,0.07592417
0.205344433,2.998239704,7.29633E-06,-0.002646731,,,0.283622632,0.625523556,-24.72815851,-60.46508932,0.165511911
0.205344433,3.248239704,6.72056E-06,-0.002797579,,,0.283833145,3.875356627,-0.352876589,-2.245632426,-0.008960083
0.205344433,3.123239704,7.00825E-06,-0.00272745,,,0.285413693,3.373338305,-4.164034278,-11.32128052,-0.031069048
0.205344433,2.748239704,7.82593E-06,-0.002453545,,,0.299291625,1.182867619,-19.83701282,-50.69767818,0.106057393
0.205344433,2.998239704,7.29633E-06,-0.002646731,,,0.299631634,2.815755732,-8.352744759,-21.42032934,-0.029577682
0.205344433,2.873239704,7.57254E-06,-0.002555426,,,0.299647507,0.819352971,-22.99081212,-57.08210958,0.152461621
0.205344433,2.748239704,7.82593E-06,-0.002453545,,,0.300425306,3.179264704,-5.622201503,-14.83695699,-0.034814046
0.270833333,0.25,2.52792E-06,-0.000257319,,,0.314496521,2.374162139,-11.69869711,-29.40051637,-0.013122279
0.270833333,0,0,0,,,0.314928206,1.625213376,-16.17500853,-42.85089171,0.051271303
0.270833333,0.25,2.52792E-06,-0.000257319,,,0.31644287,0.375846198,-27.0127536,-64.79925807,0.211182523
0.270833333,0.125,1.29362E-06,-0.000130538,,,0.324143497,3.623502688,-2.276870441,-6.793952124,-0.026296071
0.27114355,2,1.11593E-05,-0.001623576,,,0.344772187,0.026572525,-30.29932382,-70.83248528,0.257824504
0.27114355,2.25,1.11577E-05,-0.001942705,,,0.344772187,0.155176226,-29.0775287,-68.61338734,0.249752292
0.27114355,2.125,1.11952E-05,-0.001788363,,,0.345167095,2.026572525,-14.37088766,-35.66096525,0.004350175
0.27114355,2.25,1.11577E-05,-0.001942705,,,0.345167095,2.155176226,-13.37700658,-33.34697332,-0.002483169
0.27114355,2,1.11593E-05,-0.001623576,,,0.345167095,1.844823774,-14.4218274,-38.92426018,0.025670099
0.27114355,1.75,1.09525E-05,-0.001476614,,,0.345167095,1.973427475,-13.41640132,-36.61639815,0.008991076
0.27114355,1.875,1.10929E-05,-0.001552166,,,0.35827583,0.969824705,-21.66096865,-54.44320654,0.160271036
0.27114355,1.75,1.09525E-05,-0.001476614,,,0.35827583,1.03291372,-21.113504,-53.33536885,0.150616205
0.282496794,2.622921945,1.10821E-05,-0.002340842,,,0.358868954,3.028468136,-6.753101829,-17.5693924,-0.040635478
0.282760022,1.375963365,1.04766E-05,-0.001226056,,,0.358868954,2.965379122,-7.226491652,-18.71207477,-0.039508537
0.283025667,4,7.93608E-06,-0.002996609,,,0.360293089,3.844823774,-0.592929414,-2.79637322,-0.013978123
0.283025667,3.75,8.04078E-06,-0.002972712,,,0.360293089,3.973427475,0.396801019,-0.478405946,-0.002557993
0.283025667,3.875,7.93079E-06,-0.002989899,,,0.383394239,2.181494099,-13.17212436,-32.8731158,-0.004168846
0.283025667,3.75,8.04078E-06,-0.002972712,,,0.383447244,0.181853121,-28.82245096,-68.14869438,0.275893293
0.284434128,0.625882702,6.10101E-06,-0.000615711,,,0.38348627,1.818372768,-14.62481705,-39.3975717,0.032681917
0.286230314,3.372975903,8.98149E-06,-0.002857082,,,0.385241819,2.747753447,-8.862109954,-22.65175515,-0.035331656
0.307507572,0.876175193,8.61109E-06,-0.000835085,,,0.385333151,1.250642445,-19.25086949,-49.49761629,0.12560272
