X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.13131313,0.04040404,-5.9977174e-07,-9.30801e-05,-29.327824,-70.62963,0.050974593,9.308204e-05
0.13131313,0.08080808,-1.1734664e-06,-0.0001355689,-28.978909,-69.91879,0.054061957,0.00013557398
0.13131313,0.121212125,-1.7136335e-06,-0.00017764606,-28.629477,-69.20697,0.0576273,0.00017765432
0.13131313,0.16161616,-2.2295862e-06,-0.00021931343,-28.279968,-68.49496,0.06135841,0.00021932476
0.13131313,0.2020202,-2.7157366e-06,-0.00026055984,-27.930803,-67.783394,0.06501028,0.00026057402
0.13131313,0.24242425,-3.1869859e-06,-0.00030139275,-27.582203,-67.07263,0.068415344,0.0003014096
0.13131313,0.28282827,-3.6209822e-06,-0.0003418196,-27.234419,-66.36294,0.07145781,0.00034183878
0.13131313,0.32323232,-4.0326267e-06,-0.0003818255,-26.887516,-65.65428,0.074075155,0.0003818468
0.13131313,0.36363637,-4.4237822e-06,-0.00042142347,-26.541542,-64.94654,0.07624533,0.0004214467
0.13131313,0.4040404,-4.786998e-06,-0.00046061724,-26.196562,-64.239655,0.07796816,0.00046064213
0.13131313,0.44444445,-5.1409006e-06,-0.00049938634,-25.852472,-63.533188,0.079275295,0.0004994128
0.13131313,0.4848485,-5.474314e-06,-0.00053775497,-25.50931,-62.827023,0.08019706,0.00053778285
0.13131313,0.5252525,-5.779788e-06,-0.0005757138,-25.167015,-62.12089,0.080779195,0.0005757428
0.13131313,0.56565654,-6.077811e-06,-0.0006132517,-24.825533,-61.414482,0.081066564,0.00061328185
0.13131313,0.6060606,-6.3646585e-06,-0.0006503854,-24.484928,-60.707813,0.08109744,0.00065041654
0.13131313,0.64646465,-6.619841e-06,-0.00068710744,-24.145187,-60.000725,0.08090899,0.00068713934
0.13131313,0.68686867,-6.882474e-06,-0.0007234048,-23.806383,-59.293274,0.08052041,0.0007234375
0.13131313,0.72727275,-7.1190298e-06,-0.0007593017,-23.468594,-58.585514,0.0799543,0.0007593351
0.13131313,0.7676768,-7.3369592e-06,-0.0007947851,-23.131887,-57.877544,0.07921736,0.000794819
0.13131313,0.8080808,-7.547438e-06,-0.0008298494,-22.79639,-57.169563,0.07831147,0.0008298837
0.13131313,0.8484849,-7.756054e-06,-0.0008644983,-22.462202,-56.46172,0.0772475,0.00086453307
0.13131313,0.8888889,-7.953495e-06,-0.0008987244,-22.129429,-55.754177,0.076009855,0.00089875964
0.13131313,0.9292929,-8.136034e-06,-0.00093254633,-21.798134,-55.047024,0.0746019,0.00093258184
0.13131313,0.969697,-8.320436e-06,-0.00096594915,-21.468359,-54.340298,0.07302998,0.000965985
0.13131313,1.010101,-8.497387e-06,-0.0009989347,-21.140104,-53.63393,0.07129945,0.0009989709
0.13131313,1.050505,-8.663163e-06,-0.001031505,-20.813332,-52.927776,0.06942233,0.0010315414
0.13131313,1.0909091,-8.828938e-06,-0.0010636616,-20.487963,-52.221615,0.06741621,0.0010636983
0.13131313,1.1313131,-8.987263e-06,-0.0010953974,-20.163921,-51.515167,0.06530959,0.0010954342
0.13131313,1.1717172,-9.153038e-06,-0.0011267159,-19.841047,-50.80802,0.06311778,0.001126753
0.13131313,1.2121212,-9.313226e-06,-0.0011576172,-19.519283,-50.1,0.06086657,0.0011576547
0.13131313,1.2525252,-9.4771385e-06,-0.0011881124,-19.198542,-49.390797,0.05859633,0.0011881503
0.13131313,1.2929293,-9.637326e-06,-0.0012181792,-18.878815,-48.6803,0.056303564,0.0012182173
0.13131313,1.3333334,-9.795651e-06,-0.0012478381,-18.560225,-47.96866,0.054014787,0.0012478766
0.13131313,1.3737373,-9.963289e-06,-0.0012770891,-18.242922,-47.25602,0.051723197,0.001277128
0.13131313,1.4141414,-1.0134652e-05,-0.0013059005,-17.927208,-46.54278,0.049433883,0.0013059399
0.13131313,1.4545455,-1.030229e-05,-0.0013343319,-17.61342,-45.82929,0.04714331,0.0013343717
0.13131313,1.4949495,-1.0481104e-05,-0.0013623573,-17.301863,-45.115566,0.044836503,0.0013623976
0.13131313,1.5353535,-1.06636435e-05,-0.0013899934,-16.992863,-44.401398,0.0425162,0.0013900342
0.13131313,1.5757576,-1.0855496e-05,-0.0014172662,-16.686674,-43.685955,0.040165167,0.0014173078
0.13131313,1.6161616,-1.1058524e-05,-0.0014441982,-16.383629,-42.968018,0.03776422,0.0014442406
0.13131313,1.6565657,-1.1246651e-05,-0.0014708247,-16.08445,-42.24635,0.0352796,0.0014708677
0.13131313,1.6969697,-1.1451542e-05,-0.0014972053,-15.790619,-41.52047,0.032649875,0.0014972491
0.13131313,1.7373737,-1.1658296e-05,-0.0015234277,-15.504857,-40.791466,0.0298267,0.0015234723
0.13131313,1.7777778,-1.18762255e-05,-0.0015495941,-15.231294,-40.06239,0.026822358,0.0015496396
0.13131313,1.8181819,-1.2092292e-05,-0.0015758798,-14.974789,-39.33719,0.023776986,0.0015759261
0.13131313,1.8585858,-1.231581e-05,-0.0016025193,-14.739452,-38.618633,0.021014567,0.0016025666
0.13131313,1.8989899,-1.2544915e-05,-0.0016298126,-14.526189,-37.905174,0.018973652,0.001629861
0.13131313,1.939394,-1.2760982e-05,-0.0016581323,-14.330909,-37.190144,0.017992696,0.0016581814
0.13131313,1.979798,-1.2988225e-05,-0.0016878862,-14.145138,-36.46553,0.018004952,0.0016879361
0.13131313,2.020202,-1.3200566e-05,-0.0017194934,-13.959386,-35.72902,0.018398555,0.0017195441
0.13131313,2.060606,-1.3405457e-05,-0.0017532967,-13.766772,-34.987576,0.018289141,0.0017533479
0.13131313,2.10101,-1.3614073e-05,-0.0017894432,-13.563712,-34.252182,0.017037602,0.001789495
0.13131313,2.1414142,-1.3800338e-05,-0.0018278975,-13.3475895,-33.527744,0.014724482,0.0018279497
0.13131313,2.1818182,-1.4001504e-05,-0.0018683635,-13.115411,-32.80942,0.01209068,0.001868416
0.13131313,2.2222223,-1.4204532e-05,-0.001910381,-12.865052,-32.08818,0.010021491,0.0019104338
0.13131313,2.2626262,-1.4403835e-05,-0.0019533914,-12.597309,-31.35877,0.008943365,0.0019534444
0.13131313,2.3030303,-1.4588237e-05,-0.0019968934,-12.315994,-30.622452,0.008618158,0.0019969468
0.13131313,2.3434343,-1.4791265e-05,-0.0020404179,-12.026026,-29.883905,0.008398112,0.0020404714
0.13131313,2.3838384,-1.4970079e-05,-0.002083648,-11.73163,-29.147476,0.0077005606,0.0020837018
0.13131313,2.4242425,-1.513958e-05,-0.0021263212,-11.435378,-28.415009,0.006302869,0.0021263752
0.13131313,2.4646466,-1.5318394e-05,-0.0021682512,-11.138307,-27.685976,0.004375448,0.0021683052
0.13131313,2.5050504,-1.5493482e-05,-0.0022093393,-10.840609,-26.958778,0.002316275,0.0022093938
0.13131313,2.5454545,-1.5655532e-05,-0.0022494998,-10.542165,-26.231792,0.00055968406,0.0022495543
0.13131313,2.5858586,-1.582317e-05,-0.0022886526,-10.242942,-25.50405,-0.0005690386,0.0022887073
0.13131313,2.6262627,-1.5966594e-05,-0.002326779,-9.94312,-24.77538,-0.00091428455,0.002326834
0.13131313,2.6666667,-1.611188e-05,-0.0023638587,-9.643039,-24.046158,-0.00048274614,0.0023639137
0.13131313,2.7070708,-1.6232952e-05,-0.00239986,-9.34313,-23.317099,0.0005918175,0.002399915
0.13131313,2.7474747,-1.633726e-05,-0.002434779,-9.043775,-22.588867,0.0021015168,0.002434834
0.13131313,2.7878788,-1.6404316e-05,-0.0024686027,-8.745241,-21.861908,0.0038023528,0.0024686572
0.13131313,2.8282828,-1.6471371e-05,-0.0025013424,-8.447682,-21.136417,0.0054676346,0.0025013967
0.13131313,2.868687,-1.6506761e-05,-0.0025329832,-8.151109,-20.41231,0.006887742,0.002533037
0.13131313,2.909091,-1.6540289e-05,-0.002563538,-7.8554254,-19.689281,0.007907645,0.0025635913
0.13131313,2.9494948,-1.6557053e-05,-0.0025929864,-7.5604863,-18.966928,0.008422763,0.0025930393
0.13131313,2.989899,-1.6557053e-05,-0.0026213564,-7.2660947,-18.244774,0.008368134,0.0026214088
0.13131313,3.030303,-1.6568229e-05,-0.0026486143,-6.972051,-17.522364,0.0077290717,0.0026486663
0.13131313,3.070707,-1.6581267e-05,-0.0026747882,-6.6781807,-16.799324,0.0065333312,0.0026748397
0.13131313,3.1111112,-1.6601756e-05,-0.0026998576,-6.3843274,-16.075367,0.0048356396,0.0026999086
0.13131313,3.1515152,-1.6627833e-05,-0.0027238298,-6.0903506,-15.350271,0.0027127392,0.0027238806
0.13131313,3.191919,-1.66744e-05,-0.0027466975,-5.7961607,-14.623939,0.00025934938,0.002746748
0.13131313,3.2323232,-1.6726553e-05,-0.002768455,-5.5016656,-13.8963175,-0.002421669,0.0027685056
0.13131313,3.2727273,-1.680851e-05,-0.0027891193,-5.2068205,-13.167448,-0.005214866,0.00278917
0.13131313,3.3131313,-1.6903505e-05,-0.0028086714,-4.9115696,-12.437384,-0.008014838,0.0028087222
0.13131313,3.3535354,-1.702644e-05,-0.0028271098,-4.6158834,-11.706228,-0.010715068,0.002827161
0.13131313,3.3939395,-1.7177314e-05,-0.0028444435,-4.319736,-10.974097,-0.013207061,0.0028444955
0.13131313,3.4343433,-1.7346814e-05,-0.0028606523,-4.023101,-10.241119,-0.015400854,0.002860705
0.13131313,3.4747474,-1.7523766e-05,-0.002875749,-3.7259512,-9.507399,-0.017205648,0.0028758026
0.13131313,3.5151515,-1.7732382e-05,-0.0028897356,-3.4282734,-8.773079,-0.018547172,0.00288979
