X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
0.190120741,0.023340901,-30.33630916,-70.90120697,-30.37125484,0.141694015,,0.00E+00,4.00E+00,0.00E+00,-3.00E-03,3.00E-03
0.36678535,0.023340901,-30.32899521,-70.88575542,-30.36442519,0.274646406,,0.00E+00,4.00E+00,0.00E+00,-3.00E-03,3.00E-03
0.728152323,0.022048584,-30.31111767,-70.84356875,-30.34640593,0.555377495,,0.00E+00,3.46E+00,0.00E+00,-2.89E-03,2.89E-03
0.06030526,0.027708214,-30.29718007,-70.83092551,-30.33843167,0.044844382,,0.00E+00,3.73E+00,0.00E+00,-2.97E-03,2.97E-03
0.597656682,0.026174092,-30.28491233,-70.80116511,-30.32582323,0.451888262,,0.00E+00,3.86E+00,0.00E+00,-2.99E-03,2.99E-03
0.904816932,0.022048584,-30.2881463,-70.79431468,-30.32473829,0.69914273,,0.00E+00,3.59E+00,0.00E+00,-2.94E-03,2.94E-03
0.499452278,0.027708214,-30.27851884,-70.79215812,-30.32120309,0.375653517,,0.00E+00,3.46E+00,0.00E+00,-2.89E-03,2.89E-03
1.0368037,0.026174092,-30.22672515,-70.67820475,-30.27147897,0.809507692,,0.00E+00,3.46E+00,0.00E+00,-2.89E-03,2.89E-03
1.267753031,0.022087821,-30.22087659,-70.64921186,-30.26102654,1.013582235,,0.00E+00,3.02E+00,0.00E+00,-2.66E-03,2.66E-03
1.136870829,0.026220671,-30.20766602,-70.63780703,-30.25364191,0.896030215,,0.00E+00,3.24E+00,0.00E+00,-2.79E-03,2.79E-03
1.444417641,0.022087821,-30.177337,-70.55443964,-30.21953299,1.177994391,,0.00E+00,3.35E+00,0.00E+00,-2.85E-03,2.85E-03
1.576017847,0.026220671,-30.09776811,-70.40146889,-30.1497711,1.304722507,,0.00E+00,3.13E+00,0.00E+00,-2.73E-03,2.73E-03
1.67725828,0.026561066,-30.06152356,-70.32453757,-30.11581834,1.406403777,,0.00E+00,3.02E+00,0.00E+00,-2.66E-03,2.66E-03
0.555442293,0.053882306,-30.02320095,-70.33176902,-30.10649099,0.416551802,,0.00E+00,3.02E+00,0.00E+00,-2.66E-03,2.66E-03
1.808342109,0.022374564,-30.05735038,-70.29259797,-30.10498451,1.544455687,,0.00E+00,2.68E+00,0.00E+00,-2.39E-03,2.39E-03
0.026132043,0.061936974,-29.9721192,-70.24060072,-30.06381598,0.019287611,,0.00E+00,2.85E+00,0.00E+00,-2.54E-03,2.54E-03
1.090341195,0.052394763,-29.9602472,-70.20827394,-30.05055634,0.850464009,,0.00E+00,2.94E+00,0.00E+00,-2.60E-03,2.60E-03
1.985006719,0.022374564,-29.98517945,-70.13277848,-30.03538738,1.737319249,,0.00E+00,2.76E+00,0.00E+00,-2.47E-03,2.47E-03
2.116405298,0.026561066,-29.88000274,-69.92625415,-29.94187707,1.885387442,,0.00E+00,2.68E+00,0.00E+00,-2.39E-03,2.39E-03
1.628276127,0.052781737,-29.81229006,-69.91414337,-29.91793003,1.348031224,,0.00E+00,2.68E+00,0.00E+00,-2.39E-03,2.39E-03
2.21825867,0.026781014,-29.82519973,-69.80629615,-29.88944877,2.005492307,,0.00E+00,2.40E+00,0.00E+00,-2.11E-03,2.11E-03
2.349447517,0.022559844,-29.79633884,-69.71216045,-29.85254979,2.168027209,,0.00E+00,2.54E+00,0.00E+00,-2.26E-03,2.26E-03
